title,ingredients,directions,link,source,NER,site
Strawberry-Banana Pancake Foldover,"[""3 Aunt Jemima Frozen Homestyle Pancakes"", ""2 Tbsp. PHILADELPHIA Cream Cheese"", ""2 strawberries, thinly sliced Safeway 1 lb For $3.99 thru 02/09"", ""1 Tbsp. blueberries Whole Foods 3 For $10.00 thru 02/09"", ""1/4 banana, thinly sliced""]","[""Stack pancakes on microwaveable plate."", ""Microwave on HIGH 40 sec."", ""Arrange pancakes in single layer on plate; spread with cream cheese."", ""Top with fruit.""]",www.kraftrecipes.com/recipes/strawberry-banana-pancake-foldover-178475.aspx,Recipes1M,"[""philadelphia cream cheese"", ""strawberries"", ""banana"", ""blueberries""]",www.kraftrecipes.com
Cornbread,"[""2 pkg. Flako corn muffin mix"", ""4 or 5 eggs"", ""6 oz. milk"", ""2 oz. water"", ""2 Tbsp. Crisco"", ""1/4 stick margarine""]","[""Pour muffin mix in large bowl."", ""Stir until all lumps are gone. Add well beaten eggs, pouring a little at a time, stirring with large spoon."", ""Mix until it comes to a thin paste."", ""Add milk and water, stirring until mixture is well mixed."", ""Put Crisco and margarine in a 13 x 9 x 2-inch pan and place in hot oven (350\u00b0). Allow pan to become hot, then pour mixture into pan, stirring with the hot oil."", ""Bake in oven for 45 minutes to 1 hour."", ""Wrap in foil or waxed paper until ready to serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=211155,Gathered,"[""crisco"", ""eggs"", ""water"", ""margarine"", ""milk"", ""flako corn""]",www.cookbooks.com
Awsome Pound Cake ,"[""1 cup butter"", ""softened"", ""2 3/4 cups sugar"", ""1 Tbsp vanilla"", ""6 eggs"", ""3 cups flour"", ""1/2 tsp salt"", ""1/4 tsp baking soda"", ""1 cup sour cream""]","[""Pre heat oven to 325 degrees. Grease 10 inch tube pan. Beat butter until creamygradually add sugar, beating until light and fluffy. Beat in vanilla. Add eggs one at a time beating 1 minute after each egg.Combine flour, salt, baking soda in a small bowl. Add to butter mixture alternately with sour cream beginning and ending with the flour mixture. Pour batter into prepared pan. Bake 1 hour and 15 minutes or until wooden pick inserted into the center comes out clean. Cool in pan 15 minutes. Remove from pan to wire rack to cool completely. Dust with powdered sugar and enjoy.""]",www.epicurious.com/recipes/member/views/awsome-pound-cake-1210882,Gathered,"[""sour cream"", ""sugar"", ""vanilla"", ""eggs"", ""baking soda"", ""flour"", ""butter"", ""salt""]",www.epicurious.com
Spiced Pineapple Upside Down Cake,"[""1 1/3 cups butter or 1 1/3 cups margarine, softened and divided"", ""1 cup packed brown sugar"", ""1 (20 ounce) can pineapple slices, drained"", ""10 -12 maraschino cherries"", ""1/2 cup chopped pecans"", ""1 1/2 cups granulated sugar"", ""2 eggs"", ""1 teaspoon vanilla extract"", ""2 cups all-purpose flour"", ""2 teaspoons baking powder"", ""1/2 teaspoon baking soda"", ""1/2 teaspoon salt"", ""1/2 teaspoon ground cinnamon"", ""1/2 teaspoon ground nutmeg"", ""1 cup buttermilk""]","[""Preheat oven to 350\u00b0F."", ""In a small saucepan, melt 2/3 cup butter; stir in brown sugar."", ""Spread in the bottom of an ungreased heavy 12-inch skillet or a 13x9x2-inch pan."", ""Arrange pineapple slices in a single layer over the sugar mixture; place a maraschino cherry in the center of each."", ""Sprinkle with pecans and set aside."", ""In a large mixing bowl, cream sugar and remaining butter."", ""Beat in eggs and vanilla."", ""Combine the dry ingredients; add alternately with the buttermilk, mixing well after each addition."", ""Carefully pour over the pineapple."", ""Bake at 350\u00b0F for 40 minutes for a skillet, and 50-60 minutes for a baking pan, or until a wooden toothpick inserted near the center comes out clean."", ""IMMEDIATELY invert onto serving platter.""]",www.food.com/recipe/spiced-pineapple-upside-down-cake-62846,Gathered,"[""buttermilk"", ""sugar"", ""vanilla"", ""baking powder"", ""brown sugar"", ""eggs"", ""baking soda"", ""pecans"", ""ground nutmeg"", ""maraschino cherries"", ""flour"", ""ground cinnamon"", ""butter"", ""pineapple"", ""salt""]",www.food.com
Peanut Blossoms,"[""1 3/4 c. flour"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 egg"", ""1 tsp. vanilla"", ""1/2 c. shortening"", ""1/2 c. peanut butter"", ""1/2 c. sugar"", ""1/2 c. brown sugar""]","[""Sift together the first 3 ingredients."", ""Add egg and vanilla. Cream together with the shortening, peanut butter and sugars. Roll into balls."", ""Roll in sugar."", ""Bake at 375\u00b0 for 10 minutes. Remove from oven and put a chocolate kiss on each."", ""Press until cookie cracks."", ""Bake 2 to 5 minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=1001137,Gathered,"[""egg"", ""sugar"", ""vanilla"", ""shortening"", ""baking soda"", ""brown sugar"", ""peanut butter"", ""flour"", ""salt""]",www.cookbooks.com
French Coconut Pie,"[""1 c. sugar"", ""1 Tbsp. flour"", ""1 stick margarine"", ""2 eggs"", ""1/4 c. buttermilk"", ""1 pkg. frozen coconut"", ""1 pie shell""]","[""Cream sugar with flour and butter."", ""Add eggs, buttermilk and coconut."", ""Mix well and pour in shell."", ""Bake at 300\u00b0 to 325\u00b0 until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=1009914,Gathered,"[""buttermilk"", ""sugar"", ""pie shell"", ""frozen coconut"", ""eggs"", ""flour"", ""margarine""]",www.cookbooks.com
Raspberry Poke Cake,"[""1 pkg. (2 layer size) white cake mix"", ""1 pkg. (3 oz.) JELL-O brand Raspberry gelatin (any other flavor can be used)"", ""1 C. boiling water"", ""1/2 C. cold water""]","[""Prepare cake mix as directed on package, baking in well-greased and floured 9 x 13 inch pan at 350 degrees for 30 - 35 minutes."", ""Cool in pan 15 minutes; then poke with fork at 1/2 inch intervals."", ""Dissolve gelatin in boiling water."", ""Add cold water and spoon over cake in pan."", ""Chill 3 to 4 hours."", ""Top with thawed Cool Whip when serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=151130,Gathered,"[""cold water"", ""layer"", ""boiling water""]",www.cookbooks.com
Easy One-Pan Pork And Squash Dinner,"[""cooking spray"", ""3 tablespoons olive oil, divided"", ""2 tablespoons honey"", ""2 teaspoons salt, divided"", ""2 teaspoons dried sage, divided"", ""1 teaspoon ground black pepper, divided"", ""1 pork tenderloin"", ""5 cups (1-inch) cubes peeled, seeded butternut squash"", ""2 Granny Smith apples, cut into 1-inch wedges"", ""1 white onion, cut into 1/2-inch slices""]","[""Preheat oven to 425 degrees F (220 degrees C). Grease a rimmed 13x18-inch baking sheet with cooking spray."", ""Whisk 1 tablespoon olive oil, honey, 1 teaspoon salt, 1 teaspoon sage, and 1/2 teaspoon pepper in a bowl."", ""Place tenderloin on the prepared baking sheet; rub honey mixture onto pork."", ""Mix butternut squash, apples, and onion in a bowl; drizzle with remaining 2 tablespoons olive oil, 1 teaspoon salt, 1 teaspoon sage, and 1/2 teaspoon pepper; toss until well coated. Place around pork tenderloin."", ""Bake in the preheated oven until vegetables are tender and pork is cooked, 30 to 35 minutes; baste pork with honey mixture several times during roasting. An instant-read thermometer inserted into the center of the pork should read at least 145 degrees F (63 degrees C).""]",www.allrecipes.com/recipe/261598/easy-one-pan-pork-and-squash-dinner/,Gathered,"[""white onion"", ""cooking spray"", ""ground black pepper"", ""sage"", ""apples"", ""pork tenderloin"", ""honey"", ""olive oil"", ""salt""]",www.allrecipes.com
Vanilla Pudding From Scratch,"[""1 egg yolk"", ""2 1/2 - 3 tablespoons cornstarch"", ""2 tablespoons sugar (or to taste)"", ""1 cup milk"", ""1 teaspoon vanilla extract (seeds from 1 vanilla bean)"", ""1/2 cup whipping cream, well chilled""]","[""Note: I measure the cornstarch out of its box without sifting, leveling the spoons on the side of the box. Lower amount of starch will make a creamy soft pudding, larger amount a firmer pudding."", ""In a small pot whisk together egg yolk, 3 tbs of the milk, sugar and cornstarch (and vanilla seeds if using) until smooth. Best use a wire whisk to do so. Add rest of the milk, stir until smooth."", ""Put egg milk over medium heat and, stirring constantly, bring to a boil once, remove from heat and let cool. Stir frequently while the pudding is cooling to avoid a skin forming."", ""Whip cream until stiff."", ""When the pudding is cold fold the whipped cream in with a rubber spatula. Fill in individual serving bowls, layer with fruit salad if you like or serve with a sauce. Will keep in the fridge for 12 hours or more."", ""Note: Cooking time is cooling time.""]",www.food.com/recipe/vanilla-pudding-from-scratch-141267,Gathered,"[""sugar"", ""vanilla"", ""egg yolk"", ""cornstarch"", ""milk"", ""whipping cream""]",www.food.com
Oven-Baked Fish And Chips,"[""None None Olive oil cooking spray"", ""2 lbs starchy potatoes, unpeeled, cut into 1/4-inch rounds"", ""1 1/2 lbs boneless perch fillets, halved lengthways"", ""2 None large eggs"", ""1 cup panko (Japanese breadcrumbs)"", ""None None Handful fresh dill, chopped"", ""1/2 tsp sumac"", ""None None Tartar sauce and lemon wedges, to serve""]","[""Preheat oven to 425\u00b0F. Spray a baking sheet liberally with olive oil spray and place potato rounds in single layer on top. Spray with olive oil and bake on top rack for 40 mins, or until crisp and golden, turning once."", ""Spray a second baking sheet liberally with olive oil spray. Lay fish fillets on tray in single layer and spray top of fillets with olive oil spray. Set aside."", ""In a small bowl, beat eggs and season with salt and black pepper. In another bowl, combine panko and dill. Pat fish fillets dry with paper towels, coat each fillet in egg mixture, then press into breadcrumbs to coat. Return to baking sheet and chill for 15 mins."", ""Preheat broiler to medium-high. Broil fish for 3 mins, or until lightly golden. Turn, spray with oil and cook for 3 mins, or until lightly golden and cooked through."", ""Sprinkle potatoes with sumac, top with fish, and serve with tartar sauce and lemon wedges.""]",recipes-plus.com/api/v2.0/recipes/29734,Gathered,"[""olive oil cooking spray"", ""eggs"", ""tartar sauce"", ""sumac"", ""handful fresh dill"", ""perch"", ""starchy potatoes""]",recipes-plus.com
Black Cherry Salad,"[""1 (1 lb.) can dark sweet cherries"", ""1 (3 oz.) pkg. dark cherry flavor gelatin"", ""1 (8 1/2 oz.) can crushed pineapple"", ""1/2 c. thinly sliced celery"", ""1/2 c. chopped walnuts"", ""lettuce"", ""whipped cream or other topping""]","[""Drain cherries; measure juice and add enough water to make 1 3/4 cups."", ""Heat half of liquid and add to gelatin."", ""Stir until gelatin is dissolved."", ""Add remaining liquid."", ""Chill until mixture starts to thicken."", ""Cut cherries in half and combine with drained pineapple, celery and nuts."", ""Fold into gelatin and turn into individual molds."", ""Chill until firm."", ""Unmold on lettuce and garnish with topping.""]",www.cookbooks.com/Recipe-Details.aspx?id=893470,Gathered,"[""celery"", ""dark sweet cherries"", ""walnuts"", ""whipped cream"", ""dark cherry flavor gelatin"", ""pineapple""]",www.cookbooks.com
West Virginia Shepherd’S Pie,"[""4 medium potatoes, peeled and cubed"", ""2 medium parsnips, peeled and cubed"", ""3/4 cup evaporated milk"", ""2 tablespoons butter"", ""1 teaspoon salt"", ""1 teaspoon pepper, divided"", ""2 eggs"", ""1 teaspoon dried mint"", ""1 teaspoon dried rosemary, crushed"", ""1 teaspoon Worcestershire sauce"", ""1/4 teaspoon ground allspice"", ""1 pound ground lamb"", ""1/2 cup chopped onion"", ""1/4 cup chopped celery"", ""1 tablespoon olive oil"", ""1/2 cup fresh peas""]","[""Place potatoes and parsnips in a large saucepan and cover with water. Bring to a boil. Reduce heat; cover and cook for 15-20 minutes or until tender. Drain; mash potato mixture. Add the milk, butter, salt and 1/2 teaspoon pepper; mash until combined."", ""In a large bowl, combine the eggs, mint, rosemary, Worcestershire sauce, allspice and remaining pepper. Crumble lamb over mixture and mix well."", ""In a large skillet, cook onion and celery in oil over medium heat until tender. Add lamb mixture; cook and stir until lamb is no longer pink; drain."", ""Place lamb mixture in a greased 11x7-in. baking dish; sprinkle with peas. Spread potato mixture over peas. Bake, uncovered, at 375\u00b0 for 30-35 minutes or until golden brown.""]",www.tasteofhome.com/recipes/west-virginia-shepherd-s-pie/,Gathered,"[""potatoes"", ""ground lamb"", ""fresh peas"", ""pepper"", ""mint"", ""eggs"", ""parsnips"", ""onion"", ""rosemary"", ""celery"", ""ground allspice"", ""olive oil"", ""milk"", ""butter"", ""worcestershire sauce"", ""salt""]",www.tasteofhome.com
Mexican Succotash,"[""1 large onion, chopped (1 c.)"", ""1 Tbsp. margarine"", ""1 1/2 c. corn kernels"", ""1 lb. zucchini, quartered and sliced 1/2-inch thick"", ""1 pt. cherry tomatoes or 1 (28 oz.) can plum tomatoes, drained and quartered"", ""1 tsp. oregano, crumbled"", ""fresh ground black pepper to taste""]","[""In large skillet that has a cover."", ""Saute onion in margarine until soft.""]",www.cookbooks.com/Recipe-Details.aspx?id=262508,Gathered,"[""fresh ground black pepper"", ""oregano"", ""onion"", ""corn kernels"", ""margarine"", ""cherry tomatoes"", ""zucchini""]",www.cookbooks.com
Bariatric Energy Bars,"[""1/2 cup light vanilla yogurt"", ""1 egg"", ""3/4 cup Splenda sugar substitute or 3/4 cup stevia, in the raw"", ""1 1/2 cups quick-cooking oats"", ""2 tablespoons ground flax seeds"", ""1 scoop vanilla protein powder"", ""1/3 cup creamy peanut butter"", ""1/4 cup chopped walnuts""]","[""In a medium bowl, whisk egg, yogurt, and Splenda until smooth."", ""Stir in oats and flaxseed. Fold in the peanut butter, protein powder, and walnuts."", ""Spread mixture into an 8-inch square pan coated with non-stick cooking spray. Bake at 350 degrees F for 25 - 30 minutes."", ""Let cool and cut into 10 - 12 bars!""]",www.food.com/recipe/bariatric-energy-bars-447161,Gathered,"[""ground flax seeds"", ""egg"", ""splenda sugar substitute"", ""peanut butter"", ""light vanilla yogurt"", ""walnuts"", ""quick-cooking oats""]",www.food.com
Chicken Breasts And Artichoke Hearts,"[""3 medium whole chicken breasts, halved"", ""all-purpose flour"", ""2 Tbsp. salad oil"", ""1 1/2 c. water"", ""2 Tbsp. butter"", ""1 tsp. salt"", ""1/8 tsp. white pepper"", ""3 Tbsp. brandy"", ""2 tsp. lemon juice"", ""2 envelopes chicken flavored bouillon"", ""1 c. sour cream"", ""2 (9 oz.) pkg. artichoke hearts, thawed and drained well""]","[""In a 2-quart saucepan over low heat, melt butter/oleo."", ""Stir in 2 tablespoons flour, salt and pepper until smooth."", ""Gradually stir in brandy, lemon juice, water and chicken bouillon."", ""Cook, stirring constantly, until thickened and smooth."", ""Using a wire whisk, gradually blend in sour cream."", ""Pour over chicken."", ""Cover tightly; bake for 45 minutes."", ""Remove foil; add artichoke hearts."", ""Cover and bake 15 minutes longer.""]",www.cookbooks.com/Recipe-Details.aspx?id=729295,Gathered,"[""sour cream"", ""chicken breasts"", ""lemon juice"", ""salad oil"", ""white pepper"", ""water"", ""flour"", ""artichoke hearts"", ""brandy"", ""chicken flavored"", ""butter"", ""salt""]",www.cookbooks.com
Sweet And Sour Meatballs,"[""1 1/2 lb. ground beef"", ""2/3 c. crushed crackers"", ""1/2 c. minced onion"", ""2/3 c. evaporated milk"", ""1 tsp. garlic salt""]","[""Combine ingredients and roll into balls."", ""Bake at 350\u00b0 for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=916923,Gathered,"[""garlic salt"", ""crackers"", ""onion"", ""milk"", ""ground beef""]",www.cookbooks.com
Quick Apple Cobbler,"[""1 can apple pie filling (another fruit filling can be substituted)"", ""1 c. flour (self-rising)"", ""1 c. sugar"", ""1 stick margarine"", ""cinnamon to taste""]","[""Grease a 2-quart baking dish with margarine."", ""Pour in apple pie filling."", ""Sprinkle with cinnamon if desired."", ""Combine remaining ingredients and crumble over pie filling."", ""Bake at 350\u00b0 for 30 minutes or until golden brown."", ""Serve with ice cream or Cool Whip.""]",www.cookbooks.com/Recipe-Details.aspx?id=569482,Gathered,"[""sugar"", ""cinnamon"", ""apple pie filling"", ""flour"", ""margarine""]",www.cookbooks.com
Better Than Sex Cake,"[""1 box yellow cake mix"", ""1 (20 oz.) can crushed pineapple in own juice"", ""1 c. sugar"", ""1 small box vanilla pudding"", ""3 bananas"", ""1 (9 oz.) container nondairy whipped topping"", ""coconut"", ""pecans""]","[""Make cake mix according to directions in 9 x 13 pan. When cool, punch holes in cake with end of a wooden spoon. Put pineapple and sugar in saucepan and boil for five minutes. Then cool. Pour over cake. mix pudding and pour over pineapple. Slice bananas and place on cake over pudding. Top with nondairy whipped topping. Sprinkle with coconut and pecans. Yummy!""]",www.cookbooks.com/Recipe-Details.aspx?id=148394,Gathered,"[""sugar"", ""pecans"", ""bananas"", ""vanilla pudding"", ""coconut"", ""yellow cake mix"", ""pineapple""]",www.cookbooks.com
Cajun Rice Casserole,"[""1/2 lb. bacon"", ""1 large onion"", ""1 tsp. garlic salt"", ""1 tsp. onion salt"", ""1/2 lb. okra, trimmed and cut into small pieces"", ""2 (16 oz.) cans tomatoes with juice"", ""1 (10 oz.) can Ro-Tel tomatoes and green chilies"", ""3 Tbsp. dried parsley flakes"", ""salt"", ""pepper"", ""rice""]","[""Fry bacon in skillet and drain."", ""Cool; crumble into small pieces."", ""Saute onion in bacon grease until golden."", ""Add garlic salt, onion salt, okra, tomatoes, Ro-Tel, parsley flakes, salt and pepper."", ""Mix well."", ""Simmer uncovered 1 1/2 hours."", ""Meanwhile, prepare rice according to package directions."", ""Serve cooked mixture over rice."", ""Top with crumbled bacon."", ""Makes 4 to 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=903886,Gathered,"[""bacon"", ""tomatoes"", ""salt"", ""pepper"", ""garlic salt"", ""onion"", ""okra"", ""parsley flakes"", ""onion salt"", ""rice"", ""ro-tel tomatoes""]",www.cookbooks.com
Parmesan Knots,"[""12 cup vegetable oil"", ""14 cup grated parmesan cheese"", ""1 12 teaspoons dried parsley flakes"", ""1 12 teaspoons dried oregano"", ""1 teaspoon garlic powder"", ""1 dash pepper"", ""3 (12 ounce) cans refrigerated buttermilk biscuits""]","[""Combine oil, cheese, parsley, oregano, garlic powder and pepper; set aside."", ""Cut each biscuit in half."", ""Roll each portion into a 6 inch rope; tie in a loose knot."", ""Place on greased baking sheets."", ""Bake at 450 degrees for 6-8 minutes or until golden brown."", ""Immediately brush with the Parmesan mixture, then brush again."", ""Serve warm or freeze for up to 2 months."", ""To use frozen rolls: Bake at 350 degrees for 6-8 minutes or until heated through.""]",www.food.com/recipe/parmesan-knots-60260,Recipes1M,"[""buttermilk"", ""oregano"", ""pepper"", ""parmesan cheese"", ""parsley flakes"", ""garlic"", ""vegetable oil""]",www.food.com
Vidalia Onion Dip,"[""2 c. freshly chopped Vidalia onions"", ""2 c. mayonnaise"", ""2 c. grated Swiss cheese"", ""1/4 tsp. Tabasco sauce"", ""1 c. grated Parmesan cheese"", ""paprika""]","[""Preheat oven to 350\u00b0."", ""In a medium bowl, mix onions, mayonnaise, Swiss cheese and Tabasco."", ""Spread mixture into 13 x 9-inch glass baking dish."", ""Sprinkle Parmesan cheese evenly over mixture and sprinkle with paprika to taste."", ""Bake 30 minutes or until bubbly.""]",www.cookbooks.com/Recipe-Details.aspx?id=942469,Gathered,"[""tabasco sauce"", ""parmesan cheese"", ""swiss cheese"", ""vidalia onions"", ""mayonnaise"", ""paprika""]",www.cookbooks.com
Mother'S Nut And Jam Cake,"[""1 c. butter"", ""2 c. sugar"", ""1 c. milk"", ""3 c. flour, self-rising"", ""1 c. raisins"", ""1 c. blackberry jam"", ""4 Tbsp. liquid coffee"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg"", ""1 c. nuts, chopped"", ""6 eggs, beaten""]","[""Cream together butter and sugar."", ""Mix remaining ingredients as listed."", ""Place in cake pans."", ""Yields approximately 4 layers. Bake at 300 degrees for 25 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=121334,Gathered,"[""sugar"", ""nutmeg"", ""eggs"", ""cinnamon"", ""raisins"", ""flour"", ""nuts"", ""liquid coffee"", ""milk"", ""butter"", ""blackberry jam""]",www.cookbooks.com
Mexican Chicken,"[""1 tablespoon oil"", ""1 boneless skinless chicken breast"", ""2 cups water"", ""1 (10 3/4 ounce) can cream of chicken soup"", ""1 teaspoon taco seasoning"", ""14 lb Velveeta cheese"", ""milk"", ""2 cups instant rice""]","[""In a large skillet, cook the chicken breast in the oil."", ""In a medium pot, bring the water to a boil."", ""Cut the cooked chicken into bite sized peices and return to skillet, add the soup, taco seasoning, and Velveeta."", ""Stir until cheese is melted and sauce is warmed."", ""You may or may not need to add milk to reach a saucy consistency."", ""When sauce is ready add rice to pot of water and remove from heat."", ""Let stand for 1-5 minutes until rice is fluffy and water is absorbed."", ""Serve rice topped with sauce.""]",www.food.com/recipe/mexican-chicken-431908,Recipes1M,"[""oil"", ""cream of chicken soup"", ""velveeta cheese"", ""taco"", ""water"", ""chicken breast"", ""milk"", ""instant rice""]",www.food.com
Turkish Sweetmeats,"[""5 pieces Medjool dates"", ""1/4 cups roasted and salted pistachios"", ""1/4 teaspoons rose water"", ""1 tablespoon raw honey"", ""6 ounces White Chocolate"", ""5 pieces rose petals, food safe"", ""1 piece parchment paper""]","[""Cut slit into dates so you create a pocket. Do not slice date in half. Discard seed and set date aside."", ""In food processor, chop nuts to fine but not paste. Add rose water and honey and blend into pistachios."", ""Stuff dates with pistachio mixture and rest on to parchment."", ""Temper 3 ounces of chocolate and finely chop 3 ounces of white chocolate and set aside. This is your \""seeding chocolate. I found Food52's tempering chocolate instructions very helpful. https://food52.com/blog/3601-how-to-temper-chocolate"", ""Once chocolate is tempered, drizzle chocolate over top of dates."", ""Garnish with rose petal and serve with strong Turkish coffee.""]",food52.com/recipes/68540-turkish-sweetmeats,Gathered,"[""\u00bc"", ""dates"", ""white chocolate"", ""petals"", ""parchment paper"", ""honey""]",food52.com
Roast Heirloom Goose With Balsamic Vinegar ,"[""2 8- to 10-pound heirloom geese, rinsed, patted dry, excess fat pockets removed, wing tips and necks reserved"", ""12 large fresh sage sprigs"", ""1 bunch fresh thyme sprigs"", ""4 lemons, pierced all over with fork"", ""2 heads of garlic, unpeeled, cut in half horizontally to expose cloves"", ""2 medium onions, unpeeled, quartered through root ends"", ""Aged balsamic vinegar or""]","[""Using small sharp knife, make small slits in skin all over breasts, sides, legs, and thighs of each goose to allow fat to be released during roasting (do not pierce flesh). Pull out remaining pin feathers with pliers. Place geese, side by side, on large rack set in large roasting pan. Place wing tips and necks in pan. Refrigerate uncovered at least 1 day and up to 2 days for skin to dry."", ""Preheat oven to 325\u00b0F. Sprinkle main cavity of each goose with salt and pepper. Place half of herb sprigs, lemons, garlic, and onions into each. Using small metal pins, skewer cavities closed. Place each goose, breast side down, on rack. Pierce skin on back all over with small sharp knife (do not pierce flesh)."", ""Roast geese 1 1/2 hours. Using large spoon or bulb baster, transfer fat collected in bottom of roasting pan to bowl; leave juices in pan. Turn geese breast side up. Continue to roast geese until legs move easily, skin around thighs and breasts is puffed, and thermometer inserted into thickest part of thigh registers 175\u00b0F to 180\u00b0F, about 2 hours longer. Transfer to platter; tent loosely with foil. Let rest 30 to 45 minutes. If desired, reserve roasting pan with juices to make pan sauce."", ""Carve geese and serve with aged balsamic vinegar or Balsamic Pan Sauce.""]",www.epicurious.com/recipes/food/views/roast-heirloom-goose-with-balsamic-vinegar-233402,Gathered,"[""heirloom geese"", ""lemons"", ""thyme"", ""balsamic vinegar"", ""sage"", ""onions"", ""garlic""]",www.epicurious.com
Sweet Sausage Mediterranean Penne Pasta,"[""5 links sweet Italian sausage (we like Johnsonville)"", ""1 (8 ounce) box penne rigate"", ""1 (14 1/2 ounce) can diced tomatoes with basil oregano and garlic (diced, Del Monte makes these)"", ""1 (6 ounce) jar marinated artichoke hearts"", ""1 (2 ounce) can black olives, sliced (or can use fresh)"", ""1/2 cup butter"", ""4 garlic cloves, minced"", ""1 bunch fresh asparagus"", ""2 teaspoons dried oregano (or to taste or can use fresh)"", ""2 teaspoons dried sweet basil leaves (or to taste or can use fresh)"", ""1/2 cup parmesan cheese, fresh shaved""]","[""Cook pasta per directions on package."", ""Cut asparagus into 1 inch pieces."", ""Slice sausage links. In large skillet (we use a wok), saute sausage and asparagus until almost fully cooked (about 7 - 10 minutes). Remove from skillet / wok and set aside."", ""In same skillet / wok, bring butter, garlic, tomatoes (with juices), black olives (drained) and artichokes (including marinade), to a boil."", ""Lower heat. Add back sausage and asparagus, basil, and oregano then simmer for 5 minutes."", ""Place pasta in serving bowl and pour skillet / wok mixture over pasta."", ""Sprinkle with fresh shaved parmesan cheese and serve.""]",www.food.com/recipe/sweet-sausage-mediterranean-penne-pasta-327920,Gathered,"[""oregano"", ""tomatoes"", ""parmesan cheese"", ""fresh asparagus"", ""links sweet italian sausage"", ""black olives"", ""sweet basil"", ""penne rigate"", ""garlic"", ""butter""]",www.food.com
Green Beans With Lemon And Almonds,"[""2 lbs fresh green beans, trimmed"", ""7 tablespoons butter (can use a bit less)"", ""1 cup almonds, coarsley chopped (or sliced)"", ""1 tablespoon minced lemon peel (use the yellow part only, can use a bit more lemon peel)"", ""1/3 cup finely chopped parsley"", ""salt and pepper""]","[""Cook the green beans in a pot with salted water until JUST tender (about 5 minutes, you can steam the also) drain and transfer to a large bowl of ice water to cool; drain and pat dry with a paper towel (this can be done a day ahead)."", ""Melt butter in a skillet over medium heat."", ""Add in chopped almonds, and toss with butter; saute the nuts until they are lightly browned and crisp (about 2-3 minutes)."", ""Add in beans, and toss to combine with the nuts until heated through (about 3-4 minutes)."", ""Mix in the lemon peel; cook 1 minute."", ""Mix in the chopped parsley."", ""Season with salt and pepper, and transfer to a bowl."", ""Delicious!""]",www.food.com/recipe/green-beans-with-lemon-and-almonds-145728,Gathered,"[""green beans"", ""parsley"", ""almonds"", ""lemon peel"", ""butter"", ""salt""]",www.food.com
Lithuanian Kugelis,"[""1 pound bacon, diced"", ""2 large onions, diced"", ""1/2 cup butter"", ""5 pounds russet potatoes, peeled and shredded"", ""1 (12 fluid ounce) can evaporated milk"", ""6 eggs""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""Place bacon in a Dutch oven set over medium heat, cover, and cook until the bacon has softened and begun to release it's grease. Stir in the onion and cook until softened and translucent. Remove the cover, and continue cooking and stirring until the mixture caramelizes and turns a deep, golden brown. Remove from heat and stir in butter to melt."", ""Stir shredded potatoes into the onion mixture, then stir in the evaporated milk and eggs until well combined. Pour into a 9x13-inch glass baking dish."", ""Bake in preheated oven for 1 hour, or until golden on top. Remove and let stand for 10 minutes before slicing into 3x3-inch squares. Serve hot.""]",www.allrecipes.com/recipe/130651/lithuanian-kugelis/,Gathered,"[""bacon"", ""eggs"", ""onions"", ""milk"", ""russet potatoes"", ""butter""]",www.allrecipes.com
"Crunchy Cabbage, Brazil Nut And Smoked Chicken Salad","[""2 lb smoked chicken breast fillets, thinly sliced"", ""1 lb napa cabbage, finely shredded"", ""7 oz red pepper, coarsely chopped"", ""5 oz red radishes, trimmed, thinly sliced"", ""4 None spring onions, thinly sliced"", ""1/2 cup fresh cilantro leaves, coarsely chopped"", ""3 tbsp fresh flat-leaf parsley leaves, coarsely chopped"", ""3/4 cup roasted brazil nuts, coarsely chopped"", ""-1 None Chili Lime Dressing"", ""1/4 cup lime juice"", ""1 None fresh long red chili, finely chopped"", ""1 tbsp grated palm sugar"", ""2 tbsp fish sauce"", ""2 tsp sesame oil""]","[""Place chicken in a large serving bowl along with remaining ingredients."", ""Whisk together ingredients for the chili-lime dressing then pour over salad and toss to combine. Season.""]",recipes-plus.com/api/v2.0/recipes/34535,Gathered,"[""cabbage"", ""palm sugar"", ""red pepper"", ""nuts"", ""fish sauce"", ""red radishes"", ""sesame oil"", ""spring onions"", ""parsley"", ""lime juice"", ""long red chili"", ""chicken"", ""fresh cilantro""]",recipes-plus.com
